,cluster_id,curvature,x,y,z,average_potential
0,1,18.93,-35.2953683127572,12.302551440329218,18.857263374485598,-13.95892304526749
1,2,18.89,-39.89336513761467,17.46653394495413,19.575585321100917,-14.60225137614679
2,3,18.01,-36.946135667396064,31.89249234135667,23.359485776805254,-9.266939824945295
3,4,21.25,-38.8815401459854,23.241171532846717,14.02919708029197,-6.844398540145986
4,5,16.48,-39.00187789473684,28.07971157894737,17.786035789473683,-10.55509557894737
5,6,21.36,-33.95836865342163,23.20429139072847,21.590664459161147,-13.339107947019867
6,7,20.06,-38.89438858695652,24.52195380434783,25.58894836956522,-13.810038043478261
