,cluster_id,curvature,x,y,z,average_potential
0,1,17.7,-6.267139240506329,46.099058227848104,8.652640506329114,-42.87293189873417
1,2,16.32,-9.392430823117337,51.16491418563923,2.8400175131348515,-19.187588966725045
2,3,14.75,1.8648448275862068,36.372672413793104,3.5106982758620693,-27.40653275862069
3,4,-17.11,-0.4828575268817204,37.72486827956989,-2.510779569892473,-33.077525
4,5,18.97,-8.11412048192771,35.41175421686747,2.614766265060241,-15.265210361445781
5,6,13.13,-6.147360335195531,40.74182402234637,4.499337988826816,-26.67476536312849
6,7,-14.26,1.5405726872246697,44.35975991189427,10.234295154185023,-61.4903449339207
7,8,19.63,5.896669811320754,38.0966179245283,8.341198113207547,-19.486002358490566
8,9,16.63,4.007459770114943,52.91396551724138,10.267563218390805,-27.01153180076628
9,10,10.96,-2.5251459459459458,53.11297837837838,5.76085945945946,-32.12549243243243
10,11,26.33,-1.0949384615384616,49.98532307692307,12.21420769230769,-27.376004615384616
11,12,-4.45,1.0210296610169491,48.01552542372882,-8.291512711864408,-39.925544491525415
12,13,15.13,-6.479224448897795,46.73486372745491,-4.780733466933868,-23.69467294589178
13,14,17.47,5.3763733333333334,56.96347333333334,1.3596466666666667,-34.297069
14,15,14.61,2.5473833049403747,55.590841567291314,-5.485863713798978,-35.518774787052806
15,16,-16.52,24.47826907630522,50.88167068273092,-3.3059236947791164,-22.47998714859438
16,17,13.89,21.83741052631579,56.46834210526316,-5.556663157894738,-23.767304473684213
17,18,16.59,18.234599999999997,61.32470561797753,-11.694898876404494,-18.904487640449435
18,19,13.36,21.880405298013244,58.596275496688754,-16.80442119205298,-13.471039337748346
19,20,14.12,19.563393316195373,48.91783290488432,-15.477933161953729,-21.653127506426735
20,21,-16.49,11.915525581395348,57.52037209302326,-5.963432558139536,-35.760169302325586
21,22,11.25,10.551226044226045,56.02499508599508,-15.32495085995086,-20.89608746928747
22,23,-1.04,18.475245283018868,41.25624528301886,-2.807443396226415,-38.52564528301887
23,24,20.55,15.305716666666664,37.37406388888889,-7.589419444444444,-24.276701666666668
24,25,-4.58,19.387085271317826,46.15059302325581,-6.502848837209303,-58.62092751937985
25,26,-17.26,15.912700404858299,44.09311336032388,-11.225137651821864,-42.24494979757085
26,27,20.54,3.726701369863014,44.651578082191776,-14.476076712328767,-23.86226191780822
27,28,9.5,7.921280254777071,49.65179299363057,-13.663050955414013,-32.24457770700637
28,29,16.96,5.4312962962962965,40.14330864197531,-10.55579012345679,-29.703080246913586
29,30,14.66,8.101318885448917,36.40374303405573,-5.5298823529411765,-30.348154489164088
30,31,15.08,18.387969924812033,54.96776315789474,2.5829060150375938,-28.241216917293233
31,32,12.36,12.184683291770574,55.058753117206976,6.490394014962594,-24.546672319202
32,33,19.43,22.33310731707317,48.198570731707306,4.174760975609757,-23.673095609756096
33,34,13.37,21.30467398648649,40.73701520270271,4.226271959459458,-21.03104847972973
34,35,-2.79,12.580619926199264,37.813863468634686,3.1494428044280443,-26.87190258302583
35,36,30.5,9.504291666666667,46.12712500000001,12.22172222222222,-27.804304861111113
36,37,15.85,14.121311518324609,42.335876963350785,9.277178010471204,-23.430390314136122
