,cluster_id,curvature,x,y,z,average_potential
0,1,16.19,20.240322666666668,16.055522666666665,60.67587466666667,-28.478804266666668
1,2,17.49,14.643882845188282,18.192167364016736,59.73629916317991,-15.79352719665272
2,3,11.51,14.65728535980149,17.10820595533499,70.60715632754342,-31.61167990074442
3,4,-0.09,20.435411290322577,13.245846774193545,70.02426612903226,-29.1121435483871
4,5,18.44,17.682522935779815,19.84105504587156,65.600501529052,-49.74581284403669
5,6,-12.97,31.397118143459917,27.120069620253165,58.46911181434599,-25.39235358649789
6,7,10.42,35.94517358490566,26.925588679245283,62.183388679245276,-36.12306716981132
7,8,4.97,30.23715948275862,18.14921551724138,61.06679310344827,-26.77141206896552
8,9,9.56,25.122692982456144,23.292757309941518,59.05660818713451,-35.257450000000006
9,10,24.59,26.00767441860465,8.963704318936877,68.72694352159468,-30.026274418604647
10,11,19.3,31.856286432160807,10.949668341708545,61.589236180904514,-18.178042713567837
11,12,-11.7,25.577334883720933,11.231841860465119,62.41780465116278,-33.585814883720936
12,13,10.37,32.492812030075186,9.468244360902256,71.81047556390976,-39.97042612781955
13,14,20.44,38.47590643274853,10.912634502923975,65.54533918128655,-25.841098245614035
14,15,13.5,39.66226099706745,19.26614662756598,65.88931085043987,-44.154178005865106
15,16,12.35,24.590340482573726,17.14114745308311,85.98106434316354,-45.977964343163535
16,17,-4.09,23.346906976744183,13.20061627906977,76.88178488372094,-32.73703924418604
17,18,14.55,32.36251265822784,11.622881856540085,80.736194092827,-31.263216666666665
18,19,35.84,29.598952522255193,28.57113649851632,81.45477744807121,-286.75578011869436
19,20,-10.91,33.98917391304348,30.37237757437071,78.50002745995423,-168.05698924485125
20,21,6.99,23.472472868217054,30.167837209302323,66.60547674418605,-48.51127829457364
21,22,14.58,28.568552910052908,27.597748677248678,66.31012433862433,-68.23999973544973
22,23,18.3,28.979430379746834,39.6474388185654,69.43403375527427,-39.65220084388185
23,24,-10.69,32.492118867924525,34.17791320754717,70.70121698113208,-86.37249905660376
24,25,-0.82,42.89468361581921,15.482209039548026,81.09157062146893,-45.3537104519774
25,26,-19.78,32.603440993788816,19.55095341614907,85.03590372670809,-84.53700559006211
26,27,22.16,40.271447154471545,18.559548780487805,88.3175975609756,-44.7995138211382
27,28,17.92,51.952597142857144,27.78793142857143,74.86196571428572,-27.84237542857143
28,29,10.93,45.51634010152285,26.05874873096447,72.7817005076142,-46.99261040609137
29,30,-13.25,36.82069711538462,26.340346153846156,72.56395192307693,-92.39592692307693
30,31,-6.03,41.44820454545455,14.980708333333334,72.16148863636364,-42.995462878787876
31,32,16.77,45.591131410256416,19.154753205128202,71.81664102564103,-34.33174166666667
32,33,16.78,56.124710884353746,22.986819727891156,82.28901020408162,-36.61602176870749
33,34,15.56,50.42984074074074,19.065518518518516,80.31832962962963,-34.75693037037037
34,35,12.66,52.568638356164385,19.865309589041097,90.72492328767123,-25.66631616438356
35,36,12.96,48.390782881002096,14.8511127348643,89.63692901878915,-22.914493110647182
36,37,-12.47,41.823052276559864,25.318900505902192,93.19553119730185,-83.08288195615515
37,38,-3.6,54.84788983050847,33.699635593220336,90.17798305084744,-31.23729533898305
38,39,-18.22,53.11223846153847,26.819876923076922,93.51138461538461,-26.75429076923077
39,40,21.46,47.83116470588235,31.278745098039217,95.83662745098039,-26.531460392156863
40,41,14.12,47.77512537313433,38.65433134328359,88.46396119402986,-39.91635641791045
41,42,-18.17,39.739062618595824,38.44167172675522,90.31692979127135,-72.8962459203036
42,43,-13.09,38.75892741935484,37.01064516129032,80.74789717741936,-121.78369959677418
43,44,17.76,46.188436,38.61578,78.663972,-47.409852400000005
44,45,-11.1,43.21839002932552,33.753269794721405,73.71657771260998,-59.858575366568914
45,46,14.52,54.16082313681869,38.789829810901004,79.04543715239154,-30.04509032258065
46,47,19.07,58.40330809399477,26.76397911227154,88.98045169712795,-17.81392088772846
47,48,19.84,58.894439790575916,29.00142408376964,79.56469633507854,-20.058223036649217
48,49,16.13,59.9508753894081,34.140330218068534,85.4336168224299,-18.18667320872274
49,50,-17.42,23.17102262443439,26.18709728506788,91.85796832579184,-82.54670633484162
50,51,-15.18,29.388304081632654,20.162971428571428,100.45057346938776,-24.731237346938777
51,52,-6.06,28.046334745762717,18.51372881355932,93.30423728813558,-38.847566101694916
52,53,14.75,34.57878962536023,18.93885878962536,94.15522190201729,-42.53533198847263
53,54,-9.06,41.36828695652173,31.682608695652178,97.97795652173915,-34.684178260869565
